gpu_type	time_period	health_status
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
V100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
V100M32	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
V100M32	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
V100M32	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
V100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
V100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
V100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
V100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
V100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
V100M32	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Anomalous
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
V100M32	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
V100	July (Training)	Normal
T4	July (Training)	Normal
V100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
V100M32	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
V100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
T4	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
T4	July (Training)	Normal
MISC	July (Training)	Normal
V100	July (Training)	Normal
P100	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
P100	July (Training)	Normal
MISC	July (Training)	Normal
